Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	1.911417	1.714221	27.352000	33.100000	
0.100000	1.654773	1.542358	38.920000	43.460000	
0.100000	1.565331	1.503264	43.350000	45.650000	
0.100000	1.505305	1.413543	46.278000	49.930000	
0.100000	1.457395	1.399157	48.472000	51.250000	
0.100000	1.428645	1.370855	49.760000	52.300000	
0.100000	1.385097	1.338553	51.686000	52.740000	
0.100000	1.379279	1.286605	52.242000	53.900000	
0.100000	1.351737	1.263401	53.006000	56.210000	
0.100000	1.349904	1.377929	53.168000	50.680000	
0.100000	1.341251	1.380738	53.364000	49.380000	
0.100000	1.328487	1.237578	54.358000	57.900000	
0.100000	1.325989	1.314264	54.398000	53.000000	
0.100000	1.289545	1.281618	55.446000	55.390000	
0.100000	1.292392	1.270791	55.718000	56.900000	
0.100000	1.299824	1.249720	55.534000	57.610000	
0.100000	1.279116	1.265677	56.036000	56.220000	
0.100000	1.273533	1.218750	56.618000	58.710000	
0.100000	1.276717	1.269516	56.268000	55.270000	
0.100000	1.251591	1.253145	57.206000	57.390000	
0.100000	1.270277	1.294903	56.408000	56.120000	
0.100000	1.257262	1.383520	57.288000	53.670000	
0.100000	1.253224	1.269177	57.572000	56.340000	
0.100000	1.259340	1.264962	57.320000	57.420000	
0.100000	1.241847	1.221962	57.764000	58.310000	
0.100000	1.226678	1.371350	58.248000	53.380000	
0.100000	1.238869	1.231440	57.856000	57.280000	
0.100000	1.239066	1.201988	57.914000	59.410000	
0.100000	1.243760	1.212866	57.540000	58.550000	
0.100000	1.222945	1.216159	58.442000	58.700000	
0.100000	1.217686	1.212460	58.582000	59.710000	
0.100000	1.215091	1.209486	58.584000	59.430000	
0.100000	1.237439	1.238858	57.800000	57.290000	
0.100000	1.228686	1.216151	58.464000	58.870000	
0.100000	1.220384	1.318659	58.634000	55.150000	
0.100000	1.213346	1.141378	58.960000	60.920000	
0.100000	1.208526	1.273713	58.842000	56.030000	
0.100000	1.213225	1.152689	58.792000	60.880000	
0.100000	1.201854	1.220459	59.112000	57.400000	
0.100000	1.204058	1.252744	59.038000	57.420000	
0.100000	1.216034	1.228624	58.852000	57.530000	
0.100000	1.207842	1.159187	59.000000	59.860000	
0.100000	1.199325	1.153057	59.492000	60.820000	
0.100000	1.206325	1.236621	59.002000	59.070000	
0.100000	1.209789	1.190015	58.702000	59.840000	
0.100000	1.197711	1.136456	59.366000	61.100000	
0.100000	1.195322	1.171907	59.422000	60.110000	
0.100000	1.193998	1.118946	59.330000	62.600000	
0.100000	1.183841	1.284479	59.786000	56.160000	
0.100000	1.196518	1.206875	59.430000	60.000000	
0.100000	1.183106	1.189866	59.888000	57.520000	
0.100000	1.195958	1.217892	59.542000	58.630000	
0.100000	1.180319	1.148705	59.986000	61.000000	
0.100000	1.187637	1.128697	59.394000	62.600000	
0.100000	1.186271	1.245963	59.610000	58.290000	
0.100000	1.194516	1.164318	59.558000	60.600000	
0.100000	1.173713	1.146277	60.166000	61.110000	
0.100000	1.182279	1.111867	59.938000	62.750000	
0.100000	1.184988	1.313575	59.724000	55.020000	
0.100000	1.188562	1.198737	59.620000	60.280000	
0.100000	1.178768	1.137367	59.724000	62.700000	
0.100000	1.181243	1.161602	59.932000	60.400000	
0.100000	1.178813	1.154872	59.870000	59.780000	
0.100000	1.181609	1.141857	59.854000	59.710000	
0.100000	1.164203	1.138335	60.854000	61.460000	
0.100000	1.173994	1.308657	60.242000	56.070000	
0.100000	1.182709	1.142329	60.062000	59.530000	
0.100000	1.165441	1.113352	60.456000	60.550000	
0.100000	1.168037	1.219985	60.446000	59.060000	
0.100000	1.171980	1.189105	59.872000	59.070000	
0.100000	1.176981	1.176398	59.902000	60.590000	
0.100000	1.158649	1.128462	60.844000	62.210000	
0.100000	1.183869	1.180927	59.592000	60.380000	
0.100000	1.164105	1.182507	60.334000	59.160000	
0.100000	1.166113	1.111509	60.590000	61.710000	
0.100000	1.174063	1.161677	60.052000	60.830000	
0.100000	1.165127	1.158421	60.518000	61.190000	
0.100000	1.170627	1.371959	59.824000	56.120000	
0.100000	1.178496	1.207626	59.974000	60.110000	
0.100000	1.168513	1.154947	60.382000	60.990000	
0.100000	1.174339	1.144225	60.030000	61.850000	
0.010000	0.893344	0.857797	69.294000	70.650000	
0.010000	0.815573	0.827882	71.632000	71.300000	
0.010000	0.782396	0.809139	72.672000	71.980000	
0.010000	0.758585	0.791393	73.366000	72.540000	
0.010000	0.736848	0.780189	74.146000	72.970000	
0.010000	0.721321	0.778499	74.652000	72.770000	
0.010000	0.704363	0.776903	75.332000	73.160000	
0.010000	0.691774	0.767850	75.538000	72.920000	
0.010000	0.675869	0.764758	76.092000	73.770000	
0.010000	0.663548	0.763950	76.806000	73.490000	
0.010000	0.653041	0.741493	76.992000	74.370000	
0.010000	0.642523	0.749209	77.346000	73.980000	
0.010000	0.631774	0.749666	77.638000	74.110000	
0.010000	0.624798	0.737673	77.870000	74.520000	
0.010000	0.612143	0.736530	78.274000	74.590000	
0.010000	0.604690	0.759345	78.634000	73.750000	
0.010000	0.598970	0.728621	78.836000	74.890000	
0.010000	0.585753	0.742549	79.158000	74.410000	
0.010000	0.581897	0.725343	79.420000	75.030000	
0.010000	0.567615	0.739325	79.694000	74.520000	
0.010000	0.569163	0.722089	79.674000	74.810000	
0.010000	0.556426	0.739595	80.036000	74.370000	
0.010000	0.558072	0.730536	80.082000	74.720000	
0.010000	0.544825	0.724087	80.676000	75.210000	
0.010000	0.537741	0.740539	80.874000	74.900000	
0.010000	0.537731	0.753073	80.740000	74.720000	
0.010000	0.519586	0.744019	81.578000	74.570000	
0.010000	0.513971	0.748025	81.586000	74.810000	
0.010000	0.508508	0.755545	81.790000	74.160000	
0.010000	0.514670	0.743150	81.582000	74.630000	
0.010000	0.500883	0.734180	81.950000	74.870000	
0.010000	0.495927	0.758161	82.148000	74.180000	
0.010000	0.489051	0.737722	82.380000	74.790000	
0.010000	0.481537	0.751454	82.788000	74.640000	
0.010000	0.478797	0.774607	82.802000	73.910000	
0.010000	0.474046	0.754927	83.012000	74.540000	
0.010000	0.466780	0.747658	83.228000	75.140000	
0.010000	0.466827	0.752437	83.174000	75.470000	
0.010000	0.454481	0.750021	83.636000	74.670000	
0.010000	0.451812	0.779732	83.808000	74.280000	
0.010000	0.445157	0.756973	83.932000	75.070000	
0.001000	0.353078	0.704430	87.526000	76.800000	
0.001000	0.320988	0.707370	88.734000	76.910000	
0.001000	0.307319	0.714017	89.082000	76.840000	
0.001000	0.300348	0.714266	89.396000	77.080000	
0.001000	0.293497	0.718932	89.456000	76.920000	
0.001000	0.287241	0.728200	89.868000	77.060000	
0.001000	0.280984	0.731077	90.180000	76.920000	
0.001000	0.277576	0.730248	90.384000	76.970000	
0.001000	0.269165	0.736184	90.682000	77.280000	
0.001000	0.265301	0.747813	90.740000	76.850000	
0.001000	0.261126	0.743670	90.960000	77.110000	
0.001000	0.260423	0.743662	90.862000	77.040000	
0.001000	0.257193	0.743166	91.016000	77.440000	
0.001000	0.252780	0.757036	91.082000	76.990000	
0.001000	0.252057	0.753665	91.124000	77.220000	
0.001000	0.245061	0.753982	91.424000	77.320000	
0.001000	0.247242	0.764235	91.368000	76.740000	
0.001000	0.238264	0.766982	91.674000	77.020000	
0.001000	0.238496	0.765998	91.674000	77.230000	
0.001000	0.234684	0.764077	91.786000	77.000000	
0.001000	0.233321	0.772861	91.862000	77.060000	
0.001000	0.226858	0.776581	92.228000	77.220000	
0.001000	0.225901	0.779148	92.084000	77.190000	
0.001000	0.224060	0.780436	92.160000	76.990000	
0.001000	0.221329	0.783003	92.228000	76.820000	
0.001000	0.216081	0.789737	92.442000	76.920000	
0.001000	0.217027	0.790418	92.292000	76.670000	
0.001000	0.212483	0.810004	92.564000	76.640000	
0.001000	0.212387	0.801452	92.718000	77.030000	
0.001000	0.207567	0.803153	92.790000	76.860000	
0.001000	0.206968	0.806484	92.844000	76.560000	
0.001000	0.204733	0.807443	92.904000	76.540000	
0.001000	0.202180	0.808453	92.996000	76.790000	
0.001000	0.202541	0.811375	92.988000	76.730000	
0.001000	0.202194	0.813881	92.978000	76.800000	
0.001000	0.194184	0.820168	93.298000	77.000000	
0.001000	0.195128	0.819758	93.370000	77.140000	
0.001000	0.191808	0.819257	93.404000	76.790000	
0.001000	0.190928	0.825617	93.398000	77.170000	
0.001000	0.188360	0.822650	93.406000	77.020000	
0.001000	0.186076	0.836769	93.544000	76.920000	
0.001000	0.185013	0.837992	93.534000	76.540000	
